"","time_desc","day_desc","desc","month","naive_demand","demand","bayes_demand"
"51","Morning","Weekend","MorningWeekend",9,44.4666666666667,1743.13692880873,61.9069676633765
"52","Morning","Weekend","MorningWeekend",10,34.6666666666667,719.415467630633,40.6872991147017
"53","Morning","Weekend","MorningWeekend",11,20.9814814814815,468.625878804449,22.4181196567289
"54","Morning","Weekend","MorningWeekend",12,26.6296296296296,428.475428218309,29.2291964393013
"55","Morning","Weekend","MorningWeekend",13,27.0416666666667,1196.01169023517,30.5294874876067
"56","Morning","Weekend","MorningWeekend",14,34.2666666666667,411.169467458508,43.0093412366437
"57","EarlyAfternoon","Weekday","EarlyAfternoonWeekday",1,0.560606060606061,6.86967223746018,1.66958611373631
"58","EarlyAfternoon","Weekday","EarlyAfternoonWeekday",2,10.4393939393939,795.976759837657,14.6413908371349
"59","EarlyAfternoon","Weekday","EarlyAfternoonWeekday",3,18.4285714285714,648.158674079576,24.0127227284411
"60","EarlyAfternoon","Weekday","EarlyAfternoonWeekday",4,45.5217391304348,2380.41081493477,70.2086297441025
"61","EarlyAfternoon","Weekday","EarlyAfternoonWeekday",5,39.7142857142857,1666.08770687976,56.1533458330429
"62","EarlyAfternoon","Weekday","EarlyAfternoonWeekday",6,42.45,448.673732528469,54.4442000000197
"63","EarlyAfternoon","Weekday","EarlyAfternoonWeekday",7,71.231884057971,1081.36144457063,108.99056262621
"64","EarlyAfternoon","Weekday","EarlyAfternoonWeekday",8,76.030303030303,6144.10906970702,118.434113615714
"65","EarlyAfternoon","Weekday","EarlyAfternoonWeekday",9,61.015873015873,1093.95814847115,89.4086206659146
"66","EarlyAfternoon","Weekday","EarlyAfternoonWeekday",10,59.4545454545455,557.481138466474,82.839393792921
"67","EarlyAfternoon","Weekday","EarlyAfternoonWeekday",11,47.1515151515151,608.414467295133,59.6586933497119
"68","EarlyAfternoon","Weekday","EarlyAfternoonWeekday",12,45.7575757575758,1069.56836754951,57.9572165019981
"69","EarlyAfternoon","Weekday","EarlyAfternoonWeekday",13,56.8030303030303,1408.86741377405,75.9048302198676
"70","EarlyAfternoon","Weekday","EarlyAfternoonWeekday",14,59.6825396825397,2370.74442725868,80.4830505244252
"71","EarlyAfternoon","Weekend","EarlyAfternoonWeekend",1,0.0416666666666667,0.0416666666666667,0.0208333333333333
"72","EarlyAfternoon","Weekend","EarlyAfternoonWeekend",2,16.3333333333333,737.052059716133,20.1129498489542
"73","EarlyAfternoon","Weekend","EarlyAfternoonWeekend",3,24.6666666666667,844.115848061401,31.2983170020677
"74","EarlyAfternoon","Weekend","EarlyAfternoonWeekend",4,48.9166666666667,1208.17809029854,61.8827637137429
"75","EarlyAfternoon","Weekend","EarlyAfternoonWeekend",5,41.9333333333333,1178.59426474726,54.3737777315391
"76","EarlyAfternoon","Weekend","EarlyAfternoonWeekend",6,78.2916666666667,704.208185539969,95.0852393324701
"77","EarlyAfternoon","Weekend","EarlyAfternoonWeekend",7,111.041666666667,1757.80623286324,150.534954777402
"78","EarlyAfternoon","Weekend","EarlyAfternoonWeekend",8,111.84,2298.0980741647,154.874770282614
"79","EarlyAfternoon","Weekend","EarlyAfternoonWeekend",9,99.3333333333333,2856.83479446515,142.717820149217
"80","EarlyAfternoon","Weekend","EarlyAfternoonWeekend",10,79.6666666666667,953.576493979197,95.3290998030329
"81","EarlyAfternoon","Weekend","EarlyAfternoonWeekend",11,57.4444444444444,1174.83723396395,68.4586522245852
"82","EarlyAfternoon","Weekend","EarlyAfternoonWeekend",12,66.4814814814815,1354.57570541942,80.0496592479781
"83","EarlyAfternoon","Weekend","EarlyAfternoonWeekend",13,66.8333333333333,451.391389123485,76.9732932761518
"84","EarlyAfternoon","Weekend","EarlyAfternoonWeekend",14,93,1283.85882875532,124.689329293433
"85","Afternoon","Weekday","AfternoonWeekday",1,0.511363636363636,5.41304965977572,1.30604841318265
"86","Afternoon","Weekday","AfternoonWeekday",2,10.4047619047619,3232.46131606577,15.4831367638055
"87","Afternoon","Weekday","AfternoonWeekday",3,18.4772727272727,548.767064847568,27.8336009569443
"88","Afternoon","Weekday","AfternoonWeekday",4,45.6413043478261,2848.45122485129,72.8456676165901
"89","Afternoon","Weekday","AfternoonWeekday",5,38.6547619047619,4035.32525934469,59.1694136608235
"90","Afternoon","Weekday","AfternoonWeekday",6,61.2625,1385.40248472593,91.9407531181842
"91","Afternoon","Weekday","AfternoonWeekday",7,100.597826086957,1672.18601541379,172.284177809087
"92","Afternoon","Weekday","AfternoonWeekday",8,92.2906976744186,2375.62994404986,159.257495493548
"93","Afternoon","Weekday","AfternoonWeekday",9,73.2159090909091,1525.88249964009,119.335787161538
"94","Afternoon","Weekday","AfternoonWeekday",10,66.5454545454545,1872.80295463214,101.034533985983
"95","Afternoon","Weekday","AfternoonWeekday",11,56.6547619047619,715.142484198703,78.8073576995312
"96","Afternoon","Weekday","AfternoonWeekday",12,59.2065217391304,1345.27755955671,86.7367480060541
"97","Afternoon","Weekday","AfternoonWeekday",13,65.75,1907.41600386567,99.1888506626253
"98","Afternoon","Weekday","AfternoonWeekday",14,83.3928571428571,2544.29922298562,134.210456916744
"99","Afternoon","Weekend","AfternoonWeekend",1,0,0,0
"100","Afternoon","Weekend","AfternoonWeekend",2,18.25,1260.89276699585,25.1102189781335
"101","Afternoon","Weekend","AfternoonWeekend",3,31.6875,1250.07605503717,41.9843424930438
"102","Afternoon","Weekend","AfternoonWeekend",4,54.90625,1728.82964579785,71.4037080150825
"103","Afternoon","Weekend","AfternoonWeekend",5,57.9,1847.72650108075,80.7786075383016
"104","Afternoon","Weekend","AfternoonWeekend",6,106.03125,3158.16934586965,139.431699004138
"105","Afternoon","Weekend","AfternoonWeekend",7,177.09375,2344.45490969342,269.220923337718
"106","Afternoon","Weekend","AfternoonWeekend",8,130.333333333333,2456.27061525929,197.983385831523
"107","Afternoon","Weekend","AfternoonWeekend",9,136.722222222222,5794.98723156242,209.712046515947
"108","Afternoon","Weekend","AfternoonWeekend",10,102.8125,1954.61864561799,131.847973318835
"109","Afternoon","Weekend","AfternoonWeekend",11,70.1,937.516422794619,89.3880994320322
"110","Afternoon","Weekend","AfternoonWeekend",12,96.96875,2163.24410223149,124.186599798941
"111","Afternoon","Weekend","AfternoonWeekend",13,106.46875,3565.79344175596,140.214107118955
"112","Afternoon","Weekend","AfternoonWeekend",14,128.825,2967.21430161448,189.369213026716
"113","Evening","Weekday","EveningWeekday",1,0.454545454545455,4.07399294517062,0.916162958335383
"114","Evening","Weekday","EveningWeekday",2,10.1442307692308,2098.57994250393,17.0881447872261
"115","Evening","Weekday","EveningWeekday",3,18.5545454545455,1628.26239582705,34.7925418502281
"116","Evening","Weekday","EveningWeekday",4,46.0695652173913,2581.01059524675,80.208935780325
"117","Evening","Weekday","EveningWeekday",5,42.3714285714286,2919.51468563586,73.2695340360456
"118","Evening","Weekday","EveningWeekday",6,61.96,1870.56316889467,95.9148109982309
"119","Evening","Weekday","EveningWeekday",7,105.84347826087,2184.61359948709,198.536980377637
